;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
1471;1610012327;anonyme (céramiste);1948;Console;;2017-02-07;arts décoratifs,céramique;France,Rouen;;France,Rouen (lieu de création);;M0161;;18e siècle;ornementation (ornement à forme végétale, guirlande, palmette, homme, tête, femme);faïence, céramique, décor de petit feu;;1948;;Console;FRANCE,ROUEN;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
1473;1610012328;anonyme (ébéniste);1948;Médaillon,élément;;2017-02-07;arts décoratifs,ébénisterie;France;;France (lieu de création);;M0161;;16e siècle;figure,en médaillon (homme, tête),ornementation (ornement à forme végétale, fleur);noyer;;1948;;Médaillon,élément;FRANCE;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ÉBÉNISTERIE;ARTS DÉCORATIFS;ÉBÉNISTERIE;;;
1475;1610012329;;1948;Carreau de pavement (4);;2017-02-07;arts décoratifs,verrerie,médiéval;;;Saint-Sauveur (lieu de création);;M0161;;9e siècle;;verre;Carreaux de Saint-Sauveur;1948;;Carreau de pavement 4;;;;CARREAUX DE SAINT-SAUVEUR;INCONNU;INCONNU;;;;;;;ARTS DÉCORATIFS,VERRERIE,MÉDIÉVAL;ARTS DÉCORATIFS;VERRERIE;MÉDIÉVAL;;
1477;1610012788;anonyme (céramiste);1948;Carreau de pavement (3);;2016-05-24;arts décoratifs,céramique;;;;;M0161;;17e siècle;ornementation (ornement à forme végétale, fleur);terre cuite, claire, vernissé, pigment (polychrome), engobe, bois;;1948;;Carreau de pavement 3;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
1479;1610013017;anonyme (céramiste);1955 acquis, 1954 entrée matérielle;Service à café,tasse (12),soucoupe (12);;2017-02-01;vie domestique,céramique,arts décoratifs;;;France,Ile de France,Paris (lieu de création),Limoges (lieu de création);;M0162;;19e siècle;;porcelaine;;1955-1954;;Service à café,tasse 12,soucoupe 12;;;;;ANONYME;ANONYME;;;;;;;VIE DOMESTIQUE,CÉRAMIQUE,ARTS DÉCORATIFS;VIE DOMESTIQUE;CÉRAMIQUE;ARTS DÉCORATIFS;;
1481;1610013319;anonyme (auteur);2005;;;2017-02-06;arts décoratifs,broderie;;;;;M0161;;19e siècle,20e siècle;;soie, fil, tissé, brodé;;2005;;;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,BRODERIE;ARTS DÉCORATIFS;BRODERIE;;;
1483;1610013321;anonyme (auteur);2004;;;2017-02-06;arts décoratifs,broderie;;;;;M0161;;18e siècle,19e siècle;ornementation (ornement à forme végétale, fleur);soie, fil de métal, argent, velours, tissé, brodé;;2004;;;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,BRODERIE;ARTS DÉCORATIFS;BRODERIE;;;
1485;1610013413;anonyme (ébéniste);2016;Reliquaire;;2017-02-02;arts décoratifs,ébénisterie;;;;;M0161;;;scène (saint Lazare, résurrection, sainte Madeleine, sainte Marthe);bois, pigment, doré;Reliquaire de saint Lazare;2016;;Reliquaire;;;;RELIQUAIRE DE SAINT LAZARE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ÉBÉNISTERIE;ARTS DÉCORATIFS;ÉBÉNISTERIE;;;
1487;1620009899;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;recto,scène (intérieur, femme, enfant),verso,paysage (château);bois, encre (peint), vernissé, pyrogravé, tourné, taillé;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1489;1620009901;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;recto,scène (scierie, ouvrier, bois),verso,ornementation (ornement à forme géométrique, frise);bois, pigment, carton, voile, peinture, tourné;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1491;1620009902;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;recto,scène (atelier, artisan, tonneau),verso,ornementation (ornement à forme géométrique, frise);bois, pigment, carton, voile, peinture, tourné;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1493;1620009903;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;recto,scène (atelier, artisan, feu, forge, bois),verso,ornementation (ornement à forme géométrique, frise);bois, pigment, carton, voile, peinture, tourné;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1495;1620009904;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;recto,scène (atelier, artisan, feu, bois),verso,ornementation (ornement à forme géométrique, frise);bois, pigment, carton, voile, peinture, tourné;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1497;1620009905;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;paysage (rocher, village, personnage),verso,ornementation (ornement à forme géométrique, frise);bois, pigment, carton, voile, peinture, tourné;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1499;1620009906;anonyme (artisan);1954 entrée matérielle;Écran à main;;2017-01-18;costume - accessoires du costume,arts décoratifs;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;18e siècle,19e siècle;paysage (colline, village, personnage),verso,ornementation (ornement à forme géométrique, frise);bois, pigment, carton, voile, peinture, tourné;;1954;;Écran à main;;;;;ANONYME;ANONYME;;;;;;;COSTUME - ACCESSOIRES DU COSTUME,ARTS DÉCORATIFS;COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;;;
1501;1620009916;anonyme (artisan);1954 entrée matérielle;Console;2020-09-01;2017-01-18;arts décoratifs,ameublement,ébénisterie;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;19e siècle;ornementation (femme, tête, à l'antique, Egyptien);bois, bronze, or, marbre, placage, doré, moulage, taille;;1954;;Console;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,AMEUBLEMENT,ÉBÉNISTERIE;ARTS DÉCORATIFS;AMEUBLEMENT;ÉBÉNISTERIE;;
1503;1620009917;anonyme (artisan);1954 entrée matérielle;Commode;2020-09-01;2017-01-18;arts décoratifs,ameublement,ébénisterie;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;19e siècle;;bois, bronze, or, marbre, placage, doré, moulage, taillé;;1954;;Commode;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,AMEUBLEMENT,ÉBÉNISTERIE;ARTS DÉCORATIFS;AMEUBLEMENT;ÉBÉNISTERIE;;
1505;1620009918;anonyme (artisan);1954 entrée matérielle;Chaise (8);2020-09-01;2017-01-18;arts décoratifs,ameublement;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;19e siècle;paysage (maison, personnage, arbre);bois, peinture à l'huile, pigment, paillage;;1954;;Chaise 8;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,AMEUBLEMENT;ARTS DÉCORATIFS;AMEUBLEMENT;;;
1507;1620009920;anonyme (artisan);1954 entrée matérielle;Console;2020-09-01;2017-01-18;arts décoratifs,ameublement,ébénisterie;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;19e siècle;ornementation (femme, tête, à l'antique, Grec, lion, tête d'animal);bois, bronze, or, marbre, placage, doré, moulage, taille;;1954;;Console;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,AMEUBLEMENT,ÉBÉNISTERIE;ARTS DÉCORATIFS;AMEUBLEMENT;ÉBÉNISTERIE;;
1509;1620009925;DUPRE I A (artisan);1954 entrée matérielle;Fauteuil;2020-09-01;2017-01-18;arts décoratifs,ameublement;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1730;M0162;Dupre : 18e siècle;2e quart 18e siècle;;bois, chanvre, crin, laine, coton, laiton, fer, paillage, tissu, tissé;;1954;;Fauteuil;;18e siècle;18;;DUPRE I A;DUPRE I A;;;;;;;ARTS DÉCORATIFS,AMEUBLEMENT;ARTS DÉCORATIFS;AMEUBLEMENT;;;
1511;1620011148;BOURGOIS O (?, orfèvre),BOURGEOIS O (?, orfèvre);1954 entrée matérielle;Confiturier;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1819;M0162;;1er quart 19e siècle;figure (putto, bouc);argent, cristal, taille;;1954;;Confiturier;FRANCE;;;;BOURGOIS O ,BOURGEOIS O;BOURGOIS O;BOURGEOIS O;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1513;1620011149;BOURGOIS O (?, orfèvre),BOURGEOIS O (?, orfèvre);1954 entrée matérielle;Huilier-vinaigrier (5);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1819 ENTRE,1938 ET;M0162;;1ère moitié 20e siècle;;argent, cristal, taille;;1954;;Huilier-vinaigrier 5;FRANCE;;;;BOURGOIS O ,BOURGEOIS O;BOURGOIS O;BOURGEOIS O;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1515;1620011150;BOURGOIS O (?, orfèvre),BOURGEOIS O (?, orfèvre);1954 entrée matérielle;Salière (2, paire);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1819;M0162;;1er quart 19e siècle;;argent, cristal, taille;;1954;;Salière 2, paire;FRANCE;;;;BOURGOIS O ,BOURGEOIS O;BOURGOIS O;BOURGEOIS O;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1517;1620011151;anonyme (orfèvre);1954 entrée matérielle;Salière (4);;2017-01-18;arts décoratifs,orfèvrerie;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1786 ENTRE,1789 ET;M0162;;4e quart 18e siècle;;argent, cristal, taille;;1954;;Salière 4;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1519;1620011152;BACHELET (?, orfèvre),BASCHELET Louis (?, orfèvre);1954 entrée matérielle;Salière (2, double);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1844 ENTRE,1877 ET;M0162;Bachelet ou baschelet : orfèvre en 'grosse orfèvrerie' etabli 58 quai des orfèvres, nationalité : française;2e quart 19e siècle,2e moitié 19e siècle;;argent, cristal, taille;;1954;;Salière 2, double;FRANCE;orfèvre en 'grosse orfèvrerie' etabli 58 quai des orfèvres, nationalité : française;58;;BACHELET ,BASCHELET LOUIS;BACHELET;BASCHELET LOUIS;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1521;1620011153;HARLEUX Jean-Baptiste (artisan, orfèvre);1954 entrée matérielle;Moutardier;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1854 ENTRE,1875 ET;M0162;Harleux : orfèvre de 'petite partie' etabli 13 rue des greniers saint-lazare, nationalité : française;3e quart 19e siècle;ornementation (ornement à forme végétale, fleur, ruban orn);argent, cristal, taille;;1954;;Moutardier;FRANCE;orfèvre de 'petite partie' etabli 13 rue des greniers saint-lazare, nationalité : française;13;;HARLEUX JEAN BAPTISTE;HARLEUX JEAN BAPTISTE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1523;1620011154;anonyme (orfèvre);1954 entrée matérielle;Moutardier;;2017-01-18;arts décoratifs,orfèvrerie;;;France,Bourgogne,Saône et Loire,Autun (lieu de création);;M0162;;19e siècle;ornementation (ornement à forme végétale, rose, feuille, rais de coeur);alliage (argenté), cristal, taille;;1954;;Moutardier;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1525;1620011155;SALLOT Pierre Guillaume (orfèvre);1954 entrée matérielle;Sucrier,plateau;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1782 ENTRE,1789 ET;M0162;Sallot : reçu maître à paris en 1750 etabli rue saint-eloi de 1776 à 1793 retié à versailles en 1806, nationalité : française;4e quart 18e siècle;ornementation (putti, médaillon, guirlande, fleur, feuille, frise);argent, cristal, taille;;1954;;Sucrier,plateau;FRANCE;reçu maître à paris en 1750 etabli rue saint-eloi de 1776 à 1793 retié à versailles en 1806, nationalité : française;1750-1776-1793-1806;;SALLOT PIERRE GUILLAUME;SALLOT PIERRE GUILLAUME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1527;1620011156;anonyme (orfèvre);1954 entrée matérielle;Sucrier;;2017-01-18;arts décoratifs,orfèvrerie;;ÉPOQUE PREMIER EMPIRE;France,Bourgogne,Saône et Loire,Autun (lieu de création);1819 ENTRE,1838 ET;M0162;;1ère moitié 19e siècle;ornementation (putti, médaillon, guirlande, fleur, feuille, frise, rais de coeur, perle, rinceau);argent;;1954;PREMIER EMPIRE;Sucrier;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1529;1620011157;ROUGEOT Denis (orfèvre);1954 entrée matérielle;Cafetière;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1785;M0162;Rougeot : reçu maître à beaune en 1775, exerce en l'an vii, nationalité : française;4e quart 18e siècle;;argent;;1954;;Cafetière;FRANCE;reçu maître à beaune en 1775, exerce en l'an vii, nationalité : française;1775;;ROUGEOT DENIS;ROUGEOT DENIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1531;1620011158;GAUGUIN Etienne (orfèvre);1954 entrée matérielle;Cuiller (6);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1784 ENTRE,1789 ET;M0162;Gauguin : cité entre 1784 et 1789, nationalité : française;4e quart 18e siècle;;argent;;1954;;Cuiller 6;FRANCE;cité entre 1784 et 1789, nationalité : française;1784-1789;;GAUGUIN ETIENNE;GAUGUIN ETIENNE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1533;1620011159;MONNIER Michel Louis (orfèvre);1954 entrée matérielle;Service de table,fourchette (4),cuiller (4);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1781 ENTRE,1789 ET;M0162;Monnier : trévoux, 1739, chalon sur saône, 1835;4e quart 18e siècle;;argent;;1954;;Service de table,fourchette 4,cuiller 4;FRANCE;trévoux, 1739, chalon sur saône, 1835;1739-1835;;MONNIER MICHEL LOUIS;MONNIER MICHEL LOUIS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1535;1620011160;BRUNOT Mathieu (artisan, orfèvre);1954 entrée matérielle;Service de table,fourchette (8),cuiller (7);2017-10-12;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Bourgogne,Saône et Loire,Autun (lieu de création);1756 ENTRE,1768 ET;M0162;Brunot : dijon, 1707, dijon, 1782, nationalité : française;3e quart 18e siècle;;argent;;1954;;Service de table,fourchette 8,cuiller 7;FRANCE;dijon, 1707, dijon, 1782, nationalité : française;1707-1782;;BRUNOT MATHIEU;BRUNOT MATHIEU;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1537;1620011161;GUERIN Eloi (orfèvre);1954 entrée matérielle;Cuiller,fourchette (2);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1732;M0162;Guerin : ?, 1714, ?, 1765, nationalité : française;2e quart 18e siècle;;argent;;1954;;Cuiller,fourchette 2;FRANCE;?, 1714, ?, 1765, nationalité : française;1714-1765;;GUERIN ELOI;GUERIN ELOI;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1539;1620011162;SOMME Pierre Nicolas (orfèvre);1954 entrée matérielle;Cuiller;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1778,1779;M0162;Somme : reçu maître à paris en 1760, nationalité : française;4e quart 18e siècle;;argent;;1954;;Cuiller;FRANCE;reçu maître à paris en 1760, nationalité : française;1760;;SOMME PIERRE NICOLAS;SOMME PIERRE NICOLAS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1541;1620011163;SOMME Pierre Nicolas (?, orfèvre);1954 entrée matérielle;Cuiller;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1780;M0162;Somme : reçu maître à paris en 1760, nationalité : française;4e quart 18e siècle;;argent;;1954;;Cuiller;FRANCE;reçu maître à paris en 1760, nationalité : française;1760;;SOMME PIERRE NICOLAS;SOMME PIERRE NICOLAS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1543;1620011164;SOMME Pierre Nicolas (?, orfèvre);1954 entrée matérielle;Cuiller (6);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1786;M0162;Somme : reçu maître à paris en 1760, nationalité : française;4e quart 18e siècle;;argent;;1954;;Cuiller 6;FRANCE;reçu maître à paris en 1760, nationalité : française;1760;;SOMME PIERRE NICOLAS;SOMME PIERRE NICOLAS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1545;1620011165;SOMME Pierre Nicolas (?, orfèvre);1954 entrée matérielle;Cuiller;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1744 ENTRE,1750 ET;M0162;Somme : reçu maître à paris en 1760, nationalité : française;2e quart 18e siècle;;argent;;1954;;Cuiller;FRANCE;reçu maître à paris en 1760, nationalité : française;1760;;SOMME PIERRE NICOLAS;SOMME PIERRE NICOLAS;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1547;1620011166;AUGER Pierre (orfèvre);1954 entrée matérielle;Gobelet;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Sens (lieu de création);1727,1758;M0162;Auger : ?, ?, sens, 1758, nationalité : française;2e quart 18e siècle,3e quart 18e siècle;ornementation (ornement à forme végétale, fleur, frise, entrelacs, rosette orn, fleuron);argent;;1954;;Gobelet;FRANCE;?, ?, sens, 1758, nationalité : française;1758;;AUGER PIERRE;AUGER PIERRE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1549;1620011167;anonyme;1954 entrée matérielle;Cuiller à moutarde;;2017-01-18;arts décoratifs,orfèvrerie;;;France,Ile de France,Paris (lieu de création);;M0162;;18e siècle;ornementation (coquille orn);argent;;1954;;Cuiller à moutarde;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1551;1620011168;CAILLOUX Prosper (orfèvre);1954 entrée matérielle;Cuiller;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1838,1849;M0162;Cailloux : orfèvre de 'petite partie' etabli 12 rue des billettes poinçon insculpé le 6 avril 1826 poinçon biffé le 12 mai 1849, nationalité : française;2e quart 19e siècle;;argent;;1954;;Cuiller;FRANCE;orfèvre de 'petite partie' etabli 12 rue des billettes poinçon insculpé le 6 avril 1826 poinçon biffé le 12 mai 1849, nationalité : française;12-6-1826-12-1849;;CAILLOUX PROSPER;CAILLOUX PROSPER;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1553;1620011169;DALLEMAGNE Charles Joachim Benjamin (orfèvre);1954 entrée matérielle;Cuiller à pot;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1809 ENTRE,1819 ET;M0162;Dallemagne : orfèvre 'd'orfèvrerie' etabli 11 rue des orfèvres poinçon insculpé en 1798 . poinçon réinsculpé vers 1805-1810, nationalité : française;1er quart 19e siècle;;argent;;1954;;Cuiller à pot;FRANCE;orfèvre 'd'orfèvrerie' etabli 11 rue des orfèvres poinçon insculpé en 1798 . poinçon réinsculpé vers 1805-1810, nationalité : française;11-1798-1805-1810;;DALLEMAGNE CHARLES JOACHIM BENJAMIN;DALLEMAGNE CHARLES JOACHIM BENJAMIN;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1555;1620011170;DURON Jean-Baptiste (orfèvre);1954 entrée matérielle;Cuiller (2);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1809;M0162;Duron : poinçon insculpé en 1798, nationalité : française;1er quart 19e siècle;;argent;;1954;;Cuiller 2;FRANCE;poinçon insculpé en 1798, nationalité : française;1798;;DURON JEAN BAPTISTE;DURON JEAN BAPTISTE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1557;1620011171;LABBE Laurent (orfèvre);1954 entrée matérielle;Fourchette;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1819 ENTRE,1838 ET;M0162;Labbe : orfèvre - cuilleriste etabli 61 rue quincampoix poinçon insculpé le 6 avril 1829 poinçon biffé le 15 mai 1838 poinçon réinsculpé en 1849 poinçon biffé définitivement en 1852, nationalité : française;1ère moitié 19e siècle;;argent;;1954;;Fourchette;FRANCE;orfèvre - cuilleriste etabli 61 rue quincampoix poinçon insculpé le 6 avril 1829 poinçon biffé le 15 mai 1838 poinçon réinsculpé en 1849 poinçon biffé définitivement en 1852, nationalité : française;61-6-1829-15-1838-1849-1852;;LABBE LAURENT;LABBE LAURENT;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1559;1620011172;LENGLET Charles Antoine Armand (orfèvre);1954 entrée matérielle;Flambeau (2);;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1819 ENTRE,1838 ET;M0162;Lenglet : orfèvre 'en grosserie' etabli 32 rue du bourg l'abbé poinçon insculpé le 25 octobre 1823 poinçon biffé le 6 août 1842, nationalité : française;1ère moitié 19e siècle;ornementation (frise, rais de coeur, palmette);argent;;1954;;Flambeau 2;FRANCE;orfèvre 'en grosserie' etabli 32 rue du bourg l'abbé poinçon insculpé le 25 octobre 1823 poinçon biffé le 6 août 1842, nationalité : française;32-25-1823-6-1842;;LENGLET CHARLES ANTOINE ARMAND;LENGLET CHARLES ANTOINE ARMAND;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1561;1620011173;NAUDIN François Dominique (orfèvre, attribué à);1954 entrée matérielle;Cuiller à ragoût;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1819 ENTRE,1838 ET;M0162;Naudin : orfèvre 'd'orfèvrerie' etabli 6 place dauphine poinçon insculpé vers 1805 poinçon biffé le 26 mai 1840, nationalité : française;1ère moitié 19e siècle;;argent,;;1954;;Cuiller à ragoût;FRANCE;orfèvre 'd'orfèvrerie' etabli 6 place dauphine poinçon insculpé vers 1805 poinçon biffé le 26 mai 1840, nationalité : française;6-1805-26-1840;;NAUDIN FRANÇOIS DOMINIQUE;NAUDIN FRANÇOIS DOMINIQUE;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1563;1620011174;SOUFFLOT Henri (orfèvre);1954 entrée matérielle;Cuiller;;2017-01-18;arts décoratifs,orfèvrerie;France;;France,Ile de France,Paris (lieu de création);1884 ENTRE,1910 ET;M0162;Soufflot : etabli 89 rue de turbigo, poinçon insculpé le 12 avril 1884, poinçon biffé le 30 avril 1910, nationalité : française;4e quart 19e siècle,1er quart 20e siècle;;argent;;1954;;Cuiller;FRANCE;etabli 89 rue de turbigo, poinçon insculpé le 12 avril 1884, poinçon biffé le 30 avril 1910, nationalité : française;89-12-1884-30-1910;;SOUFFLOT HENRI;SOUFFLOT HENRI;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
1565;1620011175;anonyme (orfèvre);1954 entrée matérielle;Coupe;;2017-01-18;arts décoratifs,orfèvrerie;;;France,Ile de France,Paris (lieu de création);1838;M0162;;2e quart 19e siècle;;argent;;1954;;Coupe;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,ORFÈVRERIE;ARTS DÉCORATIFS;ORFÈVRERIE;;;
